header,symbol,price,price_change,price_percent_change
0,LSE,12.5,4.73,60.88
1,BOWN,6.38,2.06,47.51
2,DGNX,103.0,30.94,42.94
3,CSAI,7.9,2.33,41.83
4,HURA,3.85,1.05,37.5
5,ALBT,6.54,1.73,35.97
6,ADTX,10.03,2.53,33.73
7,EXOD,40.23,9.97,32.95
8,CSCI,4.35,1.02,30.63
9,ATER,2.7,0.59,27.96
10,FBRX,7.02,1.52,27.64
11,SVC,2.99,0.5,20.08
12,ELAB,5.64,0.94,20.0
13,BGSF,4.26,0.71,20.0
14,GYRE,10.28,1.71,19.95
15,LZMH,11.3,1.74,18.2
16,MGRX,4.27,0.65,17.96
17,MASK,3.79,0.57,17.7
18,SIG,56.7,8.4,17.39
19,KLRS,11.47,1.66,16.92
20,PTHL,4.04,0.57,16.43
21,BDRX,2.34,0.33,16.13
22,AEVA,3.11,0.43,16.04
23,INMB,8.31,1.12,15.58
24,STNE,11.38,1.53,15.53
25,AIRS,2.99,0.4,15.44
26,WLGS,5.48,0.72,15.13
27,SSP,3.36,0.44,15.07
28,SPCE,4.34,0.56,14.81
29,IVDA,3.37,0.42,14.24
30,XNET,5.11,0.63,14.06
31,VERO,3.25,0.4,14.04
32,SRAD,22.8,2.72,13.55
33,GRO,3.78,0.43,12.84
34,SMLR,40.04,4.55,12.82
35,GHRS,11.86,1.26,11.89
36,SMR,18.53,1.95,11.76
37,WULF,3.3,0.34,11.49
38,BTDR,10.57,1.08,11.44
39,AKBA,2.84,0.29,11.37
40,NXL,2.45,0.25,11.36
41,TRVG,4.77,0.48,11.19
42,GOGO,7.7,0.77,11.11
43,LB,80.22,7.87,10.88
44,BCTX,4.29,0.41,10.57
45,TIVC,3.48,0.33,10.48
46,ADVM,5.41,0.51,10.41
47,ADMA,20.61,1.9,10.15
48,JYNT,12.43,1.13,10.0
49,TDUP,2.45,0.22,9.87
50,PHAT,6.08,0.54,9.75
51,ALTG,5.66,0.5,9.69
52,NEHC,2.51,0.22,9.61
53,STAI,2.43,0.21,9.46
54,GRCE,2.55,0.22,9.44
55,LOVE,17.56,1.5,9.34
56,IREN,7.2,0.61,9.26
57,CRGX,4.15,0.35,9.21
58,ALGS,11.75,0.99,9.2
59,AFRM,47.71,4.01,9.18
60,LOMA,11.23,0.94,9.14
61,EVEX,3.38,0.28,9.03
62,SHCO,7.27,0.6,9.0
63,DPRO,3.03,0.25,8.99
64,RGNX,8.5,0.7,8.97
65,OLLI,107.94,8.88,8.96
66,SUP,2.31,0.19,8.96
67,AUID,5.45,0.44,8.78
68,TARA,4.71,0.38,8.78
69,SRPT,79.97,6.43,8.74
70,WOLF,5.92,0.47,8.62
71,MLYS,16.75,1.32,8.55
72,BIOX,4.59,0.36,8.51
73,LRMR,2.57,0.2,8.44
74,LNSR,16.87,1.31,8.42
75,AQST,2.98,0.23,8.36
76,EOSE,4.44,0.34,8.29
77,REAL,6.17,0.47,8.25
78,CORZ,8.68,0.66,8.23
79,China,16.18,1.23,8.23
80,SNBR,6.8,0.52,8.19
81,SHOP,101.71,7.7,8.19
82,RADX,6.1,0.46,8.16
83,GNLX,4.0,0.3,8.11
84,PAGS,8.52,0.64,8.05
85,ARIS,31.83,2.36,8.01
86,YMAB,4.9,0.36,7.93
87,BMEA,2.73,0.2,7.91
88,DERM,5.75,0.42,7.88
89,OKLO,28.05,2.03,7.8
90,BTAI,2.37,0.17,7.73
91,PSIX,34.52,2.46,7.67
92,CSIQ,10.53,0.75,7.67
93,SUPV,13.9,0.99,7.67
94,SMTC,41.61,2.96,7.66
95,LTBR,9.91,0.7,7.6
96,ACDC,7.67,0.54,7.57
97,ASPI,4.42,0.31,7.54
98,SATL,4.15,0.29,7.51
99,HIMS,33.85,2.36,7.49
