header,symbol,price,price_change,price_percent_change
0,IONQ,21.83,3.13,16.74
1,CXM,9.42,1.34,16.58
2,TLN,199.09,22.53,12.76
3,DJTWW,12.19,1.28,11.77
4,VKTX,29.55,3.03,11.43
5,NBIS,28.40,2.95,11.59
6,RGTI,8.95,0.9,11.18
7,VIST,47.26,4.56,10.68
8,RNA,32.61,3.03,10.24
9,TGS,26.72,2.45,10.09
10,GEO,25.95,2.34,9.91
11,RNMBY,278.90,25.25,9.95
12,ACHR,7.47,0.66,9.77
13,CRDO,47.53,4.17,9.62
14,CLF,9.77,0.75,8.37
15,RKT,14.23,1.05,8.00
16,AMTM,18.41,1.37,8.04
17,VRNA,67.60,4.9,7.81
18,CXW,20.10,1.37,7.31
19,SMMT,19.91,1.41,7.62
20,TSLA,248.09,17.51,7.59
21,ONTO,134.01,9.44,7.57
22,MU,95.64,6.59,7.40
23,PLTR,83.65,5.6,7.17
24,HOOD,38.92,2.56,7.04
25,SOUN,9.13,0.59,6.91
26,VST,121.93,7.57,6.62
27,FNMA,5.53,0.34,6.55
28,SMNEY,62.83,3.86,6.55
29,GLNG,34.04,2.05,6.39
30,ADMA,18.50,1.15,6.63
31,RDDT,130.49,7.76,6.32
32,NVDA,115.74,6.99,6.43
33,SITM,166.46,10.06,6.43
34,UPST,49.66,3.01,6.45
35,PTON,6.10,0.36,6.27
36,ACLX,72.72,4.36,6.38
37,VICR,53.31,3.22,6.43
38,BBAR,18.57,1.14,6.51
39,YPF,33.89,2.0,6.27
40,ASAN,13.40,0.76,6.01
41,GGAL,57.78,3.39,6.23
42,NVMI,224.75,13.11,6.19
43,DNLI,15.95,0.91,6.05
44,PAM,80.59,4.69,6.18
45,RBRK,57.04,3.22,5.98
46,CASY,402.07,23.36,6.17
47,PINS,33.27,1.88,5.99
48,SOC,24.43,1.38,6.00
49,INTR,5.46,0.3,5.81
50,MTSI,106.97,6.04,5.98
51,IOT,38.04,2.14,5.96
52,CIVI,34.93,1.93,5.85
53,BRZE,35.60,2.0,5.95
54,AXON,557.89,31.25,5.93
55,SOFI,11.92,0.66,5.86
56,APP,272.59,14.83,5.75
57,DUOL,291.02,16.11,5.86
58,IESC,179.35,9.8,5.78
59,BTSG,17.76,0.97,5.78
60,VERX,33.99,1.84,5.72
61,WGS,92.08,4.91,5.63
62,SPOT,536.29,27.85,5.48
63,RUM,8.21,0.42,5.39
64,GKOS,103.32,5.53,5.66
65,KYMR,35.10,1.83,5.50
66,GLBE,38.67,1.94,5.28
