,symbol,price,price_change,price_percent_change
0,SION,25.0,7.0,38.89
1,HCAI,5.12,1.36,36.17
2,DOCS,79.23,20.97,35.99
3,LTBR,12.13,3.17,35.38
4,YOSH,6.59,1.68,34.22
5,LEU,108.91,27.1,33.13
6,BBAI,8.59,1.82,26.88
7,NAMI,3.96,0.82,26.15
8,MGRX,4.25,0.83,24.27
9,DC,3.08,0.57,22.71
10,SWI,18.31,3.28,21.82
11,AFRM,75.22,13.47,21.81
12,ESE,158.57,26.15,19.75
13,VSAT,11.38,1.86,19.54
14,CELZ,4.23,0.68,19.15
15,PINS,40.0,6.41,19.08
16,MODV,5.13,0.81,18.75
17,TRVG,4.4,0.69,18.41
18,NET,166.66,25.14,17.76
19,MBOT,2.55,0.38,17.51
20,JG,11.1,1.65,17.46
21,AISP,5.79,0.86,17.44
22,EXPE,202.37,29.8,17.27
23,FBYD,7.95,1.17,17.26
24,NTRB,7.81,1.14,17.09
25,SERV,19.47,2.77,16.59
26,MRP,26.74,3.75,16.31
27,OKLO,55.49,7.73,16.19
28,ULCC,9.34,1.25,15.45
29,LGF.A,9.63,1.28,15.33
30,FHTX,4.75,0.63,15.29
31,DGNX,45.25,5.95,15.14
32,JZXN,2.93,0.38,14.9
33,SNES,3.5,0.45,14.75
34,DOMH,3.22,0.41,14.59
35,LION,8.45,1.07,14.5
36,LGF.B,8.54,1.08,14.48
37,TTWO,208.77,25.69,14.03
38,SUUN,4.62,0.56,13.79
39,CRNC,14.48,1.74,13.66
40,CTLP,9.84,1.17,13.49
41,PGY,12.5,1.43,12.92
42,CNDT,4.42,0.48,12.18
43,EH,20.4,2.21,12.12
44,KMDA,7.69,0.78,11.29
45,BFRG,2.86,0.29,11.28
46,G,54.95,5.55,11.23
47,SMR,25.84,2.59,11.14
48,CADL,8.66,0.86,11.03
49,IBEX,24.49,2.4,10.86
50,MGNI,21.17,2.03,10.61
51,BLZE,6.96,0.66,10.48
52,NBIS,38.13,3.58,10.36
53,TNXP,12.39,1.15,10.23
54,RR,3.14,0.29,10.18
55,IIIV,28.22,2.54,9.89
56,DQ,21.66,1.94,9.84
57,FUNC,40.1,3.54,9.68
58,PRO,27.29,2.37,9.51
59,SATL,3.69,0.32,9.5
60,BQ,3.46,0.3,9.49
61,BLBX,3.27,0.28,9.36
62,CLSK,11.33,0.95,9.15
63,MPWR,720.25,59.35,8.98
64,PCLA,7.1,0.58,8.9
65,MPLN,23.66,1.91,8.78
66,FUTU,105.64,8.48,8.73
67,SKBL,5.11,0.41,8.72
68,US,3.74,0.3,8.72
69,EZPW,13.43,1.07,8.66
70,PDYN,9.93,0.78,8.52
71,VERI,3.5,0.27,8.36
72,CCEL,8.6,0.66,8.28
73,TDOC,12.95,0.98,8.19
74,SOPA,2.25,0.17,8.17
75,UXIN,4.69,0.35,8.06
76,XNET,2.98,0.22,7.97
77,MIND,9.33,0.68,7.8
78,BYRN,29.64,2.14,7.78
79,INOD,42.88,3.07,7.71
80,DRUG,43.96,3.14,7.69
81,IREN,12.47,0.88,7.59
82,VCTR,70.58,4.94,7.53
83,ASPI,6.19,0.43,7.47
84,SMCI,36.28,2.44,7.21
85,RERE,3.2,0.21,7.02
86,TALK,3.85,0.25,6.94
87,CNTA,19.03,1.19,6.67
88,TIGR,7.73,0.48,6.62
89,SPIR,19.67,1.22,6.61
90,UBER,74.6,4.61,6.59
91,INLF,4.9,0.3,6.52
92,TZUP,3.32,0.2,6.41
93,DENN,7.04,0.42,6.34
94,POST,112.55,6.69,6.32
95,SRFM,4.47,0.26,6.18
96,PONY,14.0,0.81,6.14
97,TEM,68.96,3.97,6.11
98,SSNC,86.71,4.91,6.0
99,AMPX,3.61,0.2,5.87
