,symbol,price,price_change,price_percent_change
0,GV,8.31,3.42,69.84
1,DWTX,6.4,1.97,44.47
2,GENK,7.06,1.97,38.7
3,WLDN,39.04,6.82,21.17
4,WLGS,4.32,0.65,17.71
5,AMRC,10.88,1.59,17.12
6,ARRY,6.18,0.89,16.73
7,LZMH,11.4,1.58,16.03
8,TUYA,3.94,0.5,14.53
9,MLNK,21.06,2.63,14.27
10,YOSH,13.0,1.59,13.94
11,ATYR,3.5,0.42,13.64
12,ASLE,8.04,0.97,13.79
13,HE,11.8,1.4,13.41
14,APEI,21.71,2.46,12.78
15,GAP,21.96,2.48,12.71
16,XNET,4.48,0.48,12.04
17,AMLX,4.03,0.42,11.63
18,JVA,9.04,0.94,11.6
19,HAIN,4.38,0.46,11.58
20,FLNC,5.84,0.56,10.61
21,HMY,11.97,1.12,10.32
22,SEPN,7.01,0.65,10.22
23,ASUR,10.68,0.98,10.17
24,IH,2.35,0.21,9.84
25,KLXE,4.52,0.4,9.71
26,COYA,6.89,0.6,9.54
27,WOLF,5.51,0.47,9.32
28,ACDC,7.19,0.61,9.27
29,BYON,6.05,0.51,9.21
30,BTAI,2.99,0.25,9.12
31,SBC,3.37,0.28,9.1
32,RGTI,9.28,0.77,9.05
33,IDT,50.28,4.08,8.84
34,SEDG,17.4,1.38,8.61
35,CSAI,6.75,0.51,8.22
36,AARD,10.3,0.78,8.19
37,BILI,24.1,1.82,8.19
38,ALLO,2.19,0.17,8.66
39,RIG,2.99,0.22,8.06
40,MRNA,37.03,2.73,7.96
41,CRMD,10.24,0.74,7.85
42,ENPH,63.32,4.6,7.83
43,ZIM,21.24,1.47,7.43
44,FSM,4.96,0.33,7.13
45,BGS,7.4,0.51,7.32
46,WBA,11.36,0.76,7.12
47,PLL,7.34,0.48,7.0
48,CANG,3.55,0.23,6.93
49,GT,9.58,0.61,6.8
50,ORMP,2.5,0.15,6.6
51,VAL,37.1,2.27,6.52
52,VG,9.69,0.59,6.48
53,MPW,6.02,0.36,6.46
54,XRX,6.62,0.4,6.43
55,XTIA,2.99,0.18,6.41
56,CMTG,2.81,0.17,6.41
57,PHH,7.34,0.44,6.39
58,MAXN,3.35,0.2,6.35
59,NE,24.45,1.45,6.3
60,HDSN,5.96,0.35,6.24
61,SNDK,49.4,2.9,6.24
62,INVX,18.76,1.08,6.11
63,DOMO,7.48,0.43,6.1
64,LI,29.22,1.67,6.04
65,CHMI,3.55,0.2,5.97
66,HTCO,2.49,0.14,5.96
67,TDW,43.38,2.38,5.8
68,STAA,18.96,1.04,5.8
69,FCEL,6.52,0.35,5.76
70,XPEV,23.48,1.25,5.62
71,HLX,8.2,0.43,5.6
72,M,13.96,0.74,5.6
73,GO,12.16,0.63,5.46
74,ASPI,4.28,0.22,5.42
75,JELD,6.24,0.32,5.41
76,NVAX,8.3,0.42,5.4
77,RC,5.27,0.27,5.4
78,BLMN,9.01,0.45,5.26
79,PHUN,3.1,0.15,5.25
80,TSSI,9.25,0.46,5.23
81,USAU,8.87,0.44,5.22
82,SWKS,70.4,3.47,5.18
83,HPP,3.17,0.15,5.02
84,RKT,15.61,0.76,5.12
85,CPB,41.79,2.0,5.03
86,TALO,8.78,0.42,5.02
87,XERS,4.34,0.2,4.96
88,GMGI,2.12,0.1,4.95
89,SSL,4.36,0.2,4.94
90,KOS,2.24,0.1,4.93
91,PKX,53.15,2.49,4.92
92,RADX,6.85,0.32,4.9
93,LE,11.78,0.55,4.9
94,CAG,27.25,1.27,4.89
95,BMBL,4.96,0.23,4.88
96,GTN,3.8,0.17,4.83
97,BORR,2.38,0.11,4.8
98,DNUT,6.12,0.28,4.71
99,SIRI,24.85,1.1,4.63
