,symbol,price,price_change,price_percent_change
0,AGL,5.31,-0.05,-0.93
1,HMY,14.54,1.57,12.10
2,TNXP,19.74,-0.08,-0.40
3,HUM,279.40,-2.55,-0.90
4,SMTOY,13.16,0.87,7.08
5,AVAV,120.70,-0.33,-0.27
6,ALHC,18.74,-0.22,-1.13
7,HCC,43.91,0.47,1.08
8,CVS,66.82,-0.81,-1.20
9,UNH,554.99,1.91,0.35
10,DLICY,12.50,0.61,5.13
11,RYTM,55.33,-2.4,-4.16
12,CVNA,180.25,3.93,2.23
13,HTHIY,19.88,0.94,4.96
14,LOAR,74.78,-0.51,-0.68
15,PDI,17.70,-0.13,-0.73
16,PAAS,22.80,1.08,4.97
17,FNMAS,10.60,0.45,4.43
18,STRL,111.44,-2.39,-2.10
19,KGC,12.47,0.51,4.22
20,LNSTY,34.80,1.35,4.04
21,VIK,35.70,0.19,0.54
22,BGC,7.75,-0.05,-0.64
23,EQX,5.97,0.28,4.93
24,XIACY,24.10,0.85,3.66
25,BWXT,92.29,-0.88,-0.94
26,ZTO,17.18,0.67,4.06
27,ZURVY,32.35,1.03,3.29
28,WPM,73.42,2.86,4.05
29,THLLY,51.70,1.6,3.19
30,OTLY,8.98,-0.0,-0.04
31,CYBR,318.00,2.71,0.86
32,AVGO,159.40,3.37,2.16
