,symbol,price,price_change,price_percent_change
0,TNXP,14.63,3.67,33.49
1,WLY,43.70,5.79,15.27
2,APGE,35.44,4.01,12.76
3,BJ,112.33,12.24,12.23
4,DHLGY,46.87,4.79,11.38
5,DLAKY,8.50,0.75,9.68
6,PII,44.97,3.74,9.07
7,BURL,257.65,20.7,8.74
8,STVN,20.70,1.64,8.60
9,IMPUY,6.08,0.45,7.99
10,BKRIF,13.15,0.95,7.79
11,SVNDY,14.80,1.06,7.71
12,VEEV,236.14,16.2,7.37
13,CKHUY,6.47,0.44,7.30
14,MHVYF,16.82,1.07,6.79
15,THO,86.43,5.03,6.18
16,TKAMY,10.51,0.6,6.05
17,CNH,12.71,0.71,5.92
18,MAN,62.02,3.41,5.82
19,ALGM,28.31,1.53,5.71
20,AGCO,96.75,5.17,5.65
21,SQM,42.18,2.25,5.63
22,NHYDY,6.49,0.33,5.36
23,EWTX,28.13,1.42,5.32
24,DNBBF,24.88,1.25,5.30
25,MKTX,206.15,10.3,5.26
26,MHVIY,33.50,1.65,5.18
27,ADM,48.06,2.26,4.93
28,ZK,30.01,1.39,4.86
29,PBF,21.01,0.95,4.74
30,ASGN,68.48,3.04,4.65
31,NEOG,9.98,0.44,4.61
32,FAST,77.85,3.36,4.51
33,ZIM,19.77,0.85,4.49
34,BEAM,27.25,1.14,4.37
35,TIGO,28.21,1.18,4.37
36,CXW,19.17,0.77,4.18
37,BG,74.65,2.94,4.10
38,BBY,78.60,3.07,4.06
39,RGTI,8.51,0.33,4.03
40,KBH,64.43,2.48,4.00
41,ATKR,64.70,2.39,3.84
42,MOH,323.83,11.94,3.83
43,KGSPY,93.10,3.42,3.81
44,POOL,357.03,13.11,3.81
45,PCAR,106.89,3.92,3.81
46,CNXC,44.63,1.63,3.79
47,GOLF,68.60,2.47,3.74
48,CNS,86.03,3.04,3.66
49,JKHY,183.51,6.46,3.65
50,VTMX,24.58,0.86,3.63
51,AMX,14.76,0.51,3.58
52,LUNMF,8.70,0.3,3.57
53,DHI,133.96,4.59,3.55
54,VLO,126.00,4.24,3.48
55,WU,11.06,0.37,3.46
56,QGEN,39.88,1.33,3.45
57,DG,76.24,2.54,3.45
58,LSTR,159.88,5.3,3.43
59,TEX,40.40,1.33,3.40
60,WMK,77.26,2.54,3.40
61,DINO,31.64,1.04,3.40
62,MOS,24.72,0.81,3.39
63,LEN,126.14,4.11,3.37
64,BCE,24.49,0.78,3.29
65,DE,482.84,15.34,3.28
66,VZ,44.23,1.39,3.24
67,TLX,18.20,0.57,3.23
68,CENT,36.93,1.14,3.19
69,TPH,32.84,1.01,3.17
70,MSM,80.19,2.41,3.10
71,HTHIY,26.00,0.78,3.09
72,VERX,34.06,1.02,3.09
73,VWAPY,11.73,0.35,3.08
74,CCS,72.34,2.15,3.06
75,ALB,76.48,2.27,3.06
76,LEN-B,121.12,3.56,3.03
